b,m1,m2,cost
0.0,0.0,0.0,65591548106.45744
0.003404126595744681,7.642091281914894,0.011203677021276595,59886311187.11547
0.006655358945369607,14.93105305751934,0.021897317947006494,54696153064.30948
0.00976076206098516,21.883202907831674,0.0321044907745725,49974571520.767494
0.012727074491165124,28.51410440310212,0.04184767445980225,45679262640.96433
0.015560723406333528,34.838601944511346,0.05114830923993325,41771741781.075386
0.018267838987078556,40.8708539958867,0.060026844631229745,38216998758.42802
0.020854268147604195,46.62436477983107,0.06850278520870225,34983184171.0541
0.023325587625041923,52.11201450922155,0.07659473427041535,32041324036.863495
0.025687116463925082,57.34608822175614,0.08432043548413384,29365060195.693607
0.027943927923774543,62.33830328209967,0.09169681260954024,26930414148.317253
0.030100860836452824,67.09983561319709,0.09874000738494865,24715572216.47913
0.032162530438712034,71.64134471547736,0.10546541566333077,22700690099.06111
0.03413333870418615,75.97299752995782,0.11188772187855084,20867715073.25967
0.03601748419795754,80.10449119867047,0.11802093191896779,19200224247.753033
0.03781897147575882,84.04507477336335,0.12387840448199801,17683277418.656002
0.03954162004885184,87.80356992107565,0.12947288097983112,16303283209.897367
0.04118907293465312,91.38839067293945,0.13481651406324768,15047877298.678799
0.04276480481224783,94.8075622604192,0.13992089482739462,13905811634.952972
0.04427212980104977,98.068739081157,0.1447970787604226,12866853662.3615
0.045714208880021215,101.1792218346433,0.14945561049307626,11921694637.683369
0.04709405696406186,104.14597386607416,0.1539065474046431,11061866227.364403
0.048414549653408474,106.97563675498357,0.15815948213810738,10279664633.858364
0.04967842967115501,109.67454518354863,0.16222356407491248,9568081571.975002
0.05088831300330465,112.24874111785273,0.1661075198174072,8920741476.80459
0.052046694755099314,114.7039873338541,0.16981967272482892,8331844380.621068
0.053155954736737,117.04578031833967,0.17336796154655867,7796113946.958654
0.05421836279098163,119.2793625737454,0.17675995819436155,7308750196.263148
0.055236083874592,121.40973435438951,0.18000288469339876,6865386499.554311
0.05621118290494568,123.44166486039198,0.18310362934995908,6462050454.775953
0.05714562938270765,125.37970291434,0.18606876217210372,6095128295.297647
0.05804130180089246,127.22818714460087,0.18890454957774663,5761332511.679428
0.05889999185019029,128.99125569807936,0.19161696842309653,5457672396.600312
0.0597234084299712,130.67285550416318,0.1942117193828659,5181427249.042399
0.06051318147394698,132.27675111059563,0.19669423971220076,4930121997.648158
0.0612708655990549,133.80653311105587,0.19906971541890073,4701505024.843841
0.061997943585732115,135.26562618331337,0.20134309287317947,4493527993.039922
0.0626958296973718,136.65729675595153,0.20351908988095554,4304327492.157517
0.06336587284639221,137.98466032082342,0.20560220624546308,4132208344.0483613
0.06400935961400658,139.25068840761014,0.20759673384082658,3975628414.220983
0.0646275171304539,140.45821523609527,0.20950676622015094,3833184794.7909336
0.06522151582213857,141.60994406104783,0.21133620777963613,3703601234.8584557
0.06579247203182907,142.70845322391773,0.2130887824992321,3585716705.6937585
0.06634145051778094,143.7562019248915,0.21476804227940102,3478474998.2773848
0.06686946683737927,144.75553572823023,0.21637737489265055,3380915259.9928823
0.06737748962063655,145.70869181321382,0.2179200115676386,3292163385.683491
0.06786644273863573,146.61780398244738,0.21939903422282822,3211424185.9393053
0.06833720737177267,147.48490743874115,0.22081738236588605,3137974262.4452176
0.06879062398242831,148.311943341258,0.22217785967427017,3071155526.5549564
