b,m,cost
0.0,0.0,3251477635.366667
0.7600300000000001,4.773987000000001,3249141205.6135974
1.5197987418574002,9.546214186088168,3246806495.2061
2.279306321689561,14.316682205972329,3244473502.8787913
3.0385528355784666,19.08539170712192,3242142227.3672214
3.797538379570739,23.852343336768076,3239812667.407872
4.55626304967765,28.617537741903718,3237484821.738152
5.314726941875134,33.380975569283635,3235158689.0964007
6.0729301521038,38.142657465424584,3232834268.2218876
6.83087277626895,42.90258407660537,3230511557.8548074
7.588554910240584,47.660756048866936,3228190556.7362847
8.345976649853418,52.41717402801244,3225871263.6083665
9.103138090906898,57.17183865960735,3223553677.21403
9.860039329165208,61.924750588979556,3221237796.2971754
10.616680460357289,66.6759104612194,3218923619.6026287
11.373061580176845,71.42531892117982,3216611145.8761373
12.129182784282365,76.17297661347642,3214300373.8643727
12.885044168297126,80.91888418248753,3211991302.3149295
13.640645827809214,85.66304227235433,3209683929.9763265
14.395987858371532,90.40545152698093,3207378255.5979953
15.151070355501815,95.14611259003442,3205074277.9302983
15.905893414682643,99.88502610494503,3202771995.7245097
16.660457131361454,104.62219271490613,3200471407.7328258
17.414761600950555,109.3576130628744,3198172512.708363
18.168806918827137,114.09128779156987,3195875309.405151
18.92259318033329,118.82321754347599,3193579796.5781403
19.67612048077601,123.55340296083976,3191285972.983197
20.429388915427218,128.2818446856718,3188993837.377099
21.182398579523763,133.00854335974648,3186703388.5175476
21.935149568267455,137.73349962460188,3184414625.163148
22.687641976825052,142.45671412154002,3182127546.0734267
23.439875900328293,147.1781874916269,3179842150.008821
24.1918514338739,151.89792037569248,3177558435.730678
24.9435686725236,156.61591341433098,3175276402.001261
25.695027711304128,161.33216724790077,3172996047.58374
26.446228645207242,166.04668251652458,3170717371.242198
27.197171569189745,170.75945986008952,3168440371.7416253
27.947856578173486,175.4704999182472,3166165047.847924
28.698283767045382,180.17980333041382,3163891398.3279014
29.44845323065742,184.88737073577016,3161619421.949275
30.19836506382669,189.59320277326185,3159349117.480668
30.948019361335366,194.2973000815993,3157080483.691609
31.69741621793075,198.99966329925786,3154813519.352533
32.44655572832527,203.70029306447788,3152548223.234782
33.1954379871965,208.3991900152648,3150284594.110598
33.944063089187146,213.09635478938924,3148022630.75313
34.69243112890511,217.79178802438713,3145762331.93643
35.44054220092346,222.4854903575597,3143503696.4354486
36.18839639978045,227.17746242597366,3141246723.0260415
36.93599381997955,231.8677048664612,3138991410.484965
37.68333455598945,236.55621831562016,3136737757.5898747
38.43041870224405,241.24300340981407,3134485763.1193247
39.177246353142515,245.92806078517225,3132235425.8527727
39.923817603049265,250.6113910775899,3129986744.5705667
40.67013254629398,255.29299492272816,3127739718.0539603
41.41619127717162,259.9728729560142,3125494345.0851
42.16199388994245,264.65102581264136,3123250624.4470296
42.90754047883204,269.3274541275692,3121008554.9236884
43.652831138031274,274.00215853552345,3118768135.299909
44.397865961696375,278.67513967099643,3116529364.361422
45.1426450439489,283.3463981682468,3114292240.8948483
45.88716847887579,288.01593466129987,3112056763.687704
46.631436360529335,292.6837497839475,3109822931.528395
47.37544878292721,297.3498441697484,3107590743.2062235
48.119205840052494,302.01421845202793,3105360197.5113764
48.86270762585367,306.6768732638785,3103131293.234936
49.60595423424466,311.3378092381595,3100904029.1688733
50.3489457591048,315.9970270074972,3098678404.1060467
51.091682294278876,320.65452720428533,3096454416.840204
51.834163933577145,325.31031046068466,3094232066.165981
52.57639077077533,329.9643774086234,3092011350.878902
53.31836289961465,334.6167286797971,3089792269.7753735
54.0600804138018,339.2673649056689,3087574821.652692
54.80154340700901,343.9162867174694,3085359005.3090367
55.542751972874015,348.56349474619697,3083144819.5434732
56.28370620500011,353.2089896226177,3080932263.155951
57.02440619695611,357.8527719772656,3078721334.947299
57.76485204227641,362.49484244044254,3076512033.7192335
58.505043834460984,367.1352016422184,3074304358.27435
59.244981666975384,371.7738502124312,3072098307.416126
59.98466563325076,376.41078878068714,3069893879.9489202
60.724095826683886,381.04601797636064,3067691074.6779685
61.46327234063714,385.6795384285946,3065489890.40939
62.20219526843856,390.31135076630017,3063290325.9501796
62.94086470338183,394.94145561815725,3061092380.108213
63.679280738726284,399.5698536126142,3058896051.692239
64.41744346769694,404.1965453778882,3056701339.5118866
65.15535298348452,408.821531541965,3054508242.3776608
65.89300937924543,413.4448127325994,3052316759.100939
66.63041274810178,418.0663895773152,3050126888.4939775
67.36756318314141,422.6862627034051,3047938629.3699045
68.10446077741794,427.30443273793094,3045751980.5427203
68.8411056239507,431.92090030772385,3043566940.827303
69.57749781572477,436.5356660393842,3041383509.0393963
70.31363744569106,441.1487305592817,3039201683.99562
71.04952460676621,445.76009449355564,3037021464.5134625
71.78515939183272,450.36975846811475,3034842849.4112854
72.52054189373887,454.97772310863746,3032665837.5083175
73.25567220529875,459.5839890405719,3030490427.624658
73.99055041929235,464.18855688913595,3028316618.581271
